                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   3.19,                 4.3298,                 4.4385,                0.00194,                    0.7,                0.00683,                0.00207,                 2.9058,                 5.4429,                 4.1588,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.8491,                 4.2198,                 4.2887,                0.00194,                    0.7,                0.00784,                0.00256,                 2.9049,                 5.4434,                 4.1586,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                 3.1347,                 4.1932,                 4.3764,                0.00194,                    0.7,                0.00483,                0.00119,                  2.904,                 5.4427,                  4.158,             0.00015683,             0.00015683,             0.00015683
                      4,                 3.1786,                 4.2536,                 4.3017,                0.00194,                    0.7,                0.00942,                0.00151,                 2.9036,                 5.4409,                 4.1572,             0.00021347,             0.00021347,             0.00021347
                      5,                 2.9294,                 4.1018,                 4.3061,                0.00194,                    0.7,                0.00417,                0.00097,                 2.9038,                 5.4364,                 4.1562,             0.00026891,             0.00026891,             0.00026891
                      6,                 3.1327,                 4.0693,                 4.1936,                0.00194,                    0.7,                0.00516,                0.00134,                  2.904,                   5.43,                 4.1555,             0.00032317,             0.00032317,             0.00032317
                      7,                 2.8811,                 3.9557,                 4.1691,                0.00194,                    0.7,                0.00534,                0.00174,                 2.9045,                  5.413,                 4.1546,             0.00037624,             0.00037624,             0.00037624
                      8,                 2.8866,                 4.0685,                 4.1638,                0.00194,                    0.7,                0.00656,                0.00262,                 2.9046,                 5.4011,                 4.1544,             0.00042812,             0.00042812,             0.00042812
                      9,                 3.0972,                 3.8496,                 4.1382,                0.00194,                    0.7,                0.00525,                0.00128,                  2.904,                 5.3794,                 4.1543,             0.00047882,             0.00047882,             0.00047882
                     10,                 2.9268,                 3.8159,                 4.1163,                0.00194,                    0.7,                0.00409,                0.00146,                 2.9043,                 5.3718,                 4.1541,             0.00052832,             0.00052832,             0.00052832
                     11,                 3.0516,                 3.7754,                 4.0651,                0.00194,                    0.7,                0.00405,                0.00143,                 2.9034,                 5.3495,                 4.1541,             0.00057664,             0.00057664,             0.00057664
                     12,                 2.7155,                 3.5632,                 3.9489,                0.00194,                    0.7,                  0.004,                0.00131,                 2.9034,                  5.314,                  4.157,             0.00062377,             0.00062377,             0.00062377
                     13,                 3.1322,                 3.9287,                 3.9254,                0.00194,                    0.7,                0.00406,                 0.0015,                 2.9036,                 5.2136,                 4.1717,             0.00066971,             0.00066971,             0.00066971
                     14,                 2.8698,                 3.7718,                 3.8464,                0.00194,                    0.7,                0.00347,                0.00121,                  2.905,                 5.1572,                 4.1841,             0.00071447,             0.00071447,             0.00071447
                     15,                 2.8052,                  3.595,                 3.8526,                0.00194,                    0.7,                0.00497,                0.00135,                 2.9137,                 5.0825,                 4.2161,             0.00075803,             0.00075803,             0.00075803
                     16,                 2.8233,                 3.3521,                 3.7485,                0.00194,                    0.7,                0.00385,                0.00117,                 2.9174,                 5.0422,                 4.2317,             0.00080041,             0.00080041,             0.00080041
                     17,                 2.7507,                 3.1687,                 3.6229,                0.00194,                    0.7,                0.00411,                0.00121,                  2.919,                 5.0089,                 4.2658,              0.0008416,              0.0008416,              0.0008416
                     18,                 2.8074,                 3.0831,                 3.5357,                0.00194,                    0.7,                0.00284,                0.00109,                 2.9139,                 4.9867,                 4.2719,              0.0008816,              0.0008816,              0.0008816
                     19,                 2.8572,                 3.2401,                 3.5854,                0.00194,                    0.7,                 0.0034,                0.00116,                 2.9112,                 4.8996,                 4.2759,             0.00092042,             0.00092042,             0.00092042
                     20,                 2.7281,                 2.8456,                 3.4736,                0.00194,                    0.7,                0.00281,                0.00099,                 2.9056,                 4.7499,                 4.2846,             0.00095804,             0.00095804,             0.00095804
                     21,                 2.7594,                 2.9334,                  3.491,                0.00194,                    0.7,                 0.0041,                0.00119,                 2.9047,                 4.6529,                 4.2842,             0.00099448,             0.00099448,             0.00099448
                     22,                 2.7651,                  2.785,                 3.4647,                0.00194,                    0.7,                0.00408,                 0.0013,                  2.877,                 4.5811,                 4.2255,              0.0010297,              0.0010297,              0.0010297
                     23,                 2.3519,                 2.6615,                 3.2597,                0.00194,                    0.7,                0.00307,                0.00124,                 2.8306,                 4.5263,                 4.1056,              0.0010638,              0.0010638,              0.0010638
                     24,                 2.4118,                 2.3187,                 3.1969,                0.00194,                    0.7,                0.00359,                0.00128,                 2.7714,                 4.4793,                 3.9029,              0.0010967,              0.0010967,              0.0010967
                     25,                 2.4841,                 2.4539,                  3.292,                0.00194,                    0.7,                0.00478,                0.00187,                 2.6989,                 4.3252,                 3.5118,              0.0011284,              0.0011284,              0.0011284
                     26,                 2.5204,                 2.4835,                 3.2586,                0.00194,                    0.7,                0.00536,                0.00246,                  2.629,                 4.2652,                 3.2924,              0.0011588,              0.0011588,              0.0011588
                     27,                 2.5434,                 2.4365,                 3.1896,                0.00251,                    0.7,                0.00552,                0.00265,                 2.5565,                 4.2682,                 3.2119,              0.0011882,              0.0011882,              0.0011882
                     28,                  2.285,                 2.1791,                 3.0293,                0.00247,                    0.7,                0.29544,                0.17415,                 2.4003,                 4.0172,                 2.9243,              0.0012163,              0.0012163,              0.0012163
                     29,                 2.3305,                 2.6709,                 3.1104,                0.00247,                    0.7,                0.29544,                0.17415,                 2.4003,                 4.0172,                 2.9243,              0.0012432,              0.0012432,              0.0012432
                     30,                 2.4363,                 2.6283,                 3.0687,                0.00237,                    0.7,                0.09951,                0.01252,                 2.2937,                 4.3984,                 3.1547,               0.001269,               0.001269,               0.001269
                     31,                 2.4668,                 2.4296,                 3.1191,                0.00235,                    0.7,                0.02406,                0.00955,                 2.2414,                 4.2996,                 3.1534,              0.0012935,              0.0012935,              0.0012935
                     32,                 2.4751,                 2.4736,                 3.1721,                0.18148,                    0.4,                0.17711,                0.09305,                 2.3824,                 4.7992,                 2.8618,              0.0013169,              0.0013169,              0.0013169
                     33,                  2.214,                 2.0915,                 2.8408,                0.18148,                    0.4,                0.17711,                0.09305,                 2.3824,                 4.7992,                 2.8618,              0.0013391,              0.0013391,              0.0013391
                     34,                 2.1677,                 2.1512,                 2.8613,                0.09336,                    0.3,                0.19965,                0.07606,                 2.5311,                 12.977,                 3.3151,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.3368,                 2.2414,                 2.9025,                0.09091,                    0.3,                0.07554,                0.02309,                 2.4413,                 57.229,                 5.0408,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.2137,                 2.2851,                  2.846,                    0.2,                    0.3,                 0.1982,                0.05012,                 2.1364,                 47.017,                 3.7468,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.3126,                 2.1142,                 2.9511,                    0.2,                    0.3,                 0.1982,                0.05012,                 2.1364,                 47.017,                 3.7468,               0.001307,               0.001307,               0.001307
                     38,                  2.346,                 2.2094,                 2.9855,                0.06116,                    0.4,                0.09973,                0.02545,                 2.1529,                 34.514,                 3.8399,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.1929,                 2.1814,                 2.9072,                0.04839,                    0.3,                0.03555,                0.01219,                 2.3064,                 105.47,                 6.2807,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.0141,                  1.853,                 2.6997,                0.05455,                    0.3,                0.03936,                0.01849,                 2.1447,                 96.594,                 5.1188,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.2806,                 2.1948,                 2.9523,                0.05455,                    0.3,                0.03936,                0.01849,                 2.1447,                 96.594,                 5.1188,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.0804,                 2.1107,                 2.7279,                0.11111,                    0.1,                0.06912,                0.01237,                 2.6711,                 45.245,                 8.7356,               0.001208,               0.001208,               0.001208
